ID,Accession,Year,Plot,Block,Replicate,Repeat,A_sat,gs_sat,C_i_sat,iWUE_sat,SLA,C_i,Nit,V_pmax,V_max,S.Lim.,A_400,gs_w,iWUE,alpha_l,KS_l,R2_l,alpha_h,KS_h,R2_h,alpha_t,KS_t,R2_t
2021_1001_1,SSA_151,2021,1001,1,1,1,27.72643989,0.140572359,60.40878879,197.239628,131.9786096,42.08,2.35,53.45035868,36.98814438,0.102226241,29.94214658,0.231292358,129.4558404,2.116570330997975,0.06578867441627267,0.7924062968989616,3.7167977098477634,0.10160938033192202,0.7948089207712048,3.2621858091545404,0.22747686941405043,0.812450204723668
2021_1001_2,SSA_151,2021,1001,1,1,2,,,,,100.3252033,39.53,2.6,72.30967257,43.12157901,0.30163657,28.69077425,0.163034638,175.9796237,2.2054165400062113,0.06507177232328831,0.8481473974839917,4.2743500558048035,0.11610328040755108,0.8148453210207489,2.863472702973922,0.16370467724622062,0.750493380176072
2021_1001_3,SSA_151,2021,1001,1,1,3,20.99955021,0.144973193,148.474894,144.8512633,102.8333333,47.31,3.25,33.14770685,37.53909055,0.299377058,20.62717724,0.155515483,132.6374509,2.2007539196036183,0.0615548340708697,0.8323665420621789,3.9660774275560033,0.06783668615300509,0.8451294506052421,2.9528567804930863,0.17781633479054193,0.7901095159850249
2021_2246_1,SSA_151,2021,2246,6,2,1,23.33027565,0.165593399,155.1290366,140.8889232,114.7906977,44.32,2.87,69.69075211,44.27986464,0.22074896,30.96556294,0.216143981,143.2635912,2.1811356094952647,0.07505370407711709,0.8339551984906592,4.115425451995219,0.11342374753644877,0.8591004486134662,2.935258841688092,0.18822209273279278,0.8075104251771104
2021_2246_2,SSA_151,2021,2246,6,2,2,33.50498859,0.151416266,18.25600646,221.2773399,102.8333333,40.96,2.83,68.66333818,34.26856765,0.212847967,25.9724858,0.153507796,169.1932689,2.219328317429002,0.08101866145036507,0.8357695057171151,4.40242380112463,0.11686995581183413,0.8705190844488405,2.873237255965611,0.1804604124875656,0.7967875935370647
2021_2246_3,SSA_151,2021,2246,6,2,3,32.28069913,0.141856249,10.01498083,227.5592316,115.8685446,43.97,2.79,94.09295578,28.7366529,0.222430384,22.28254626,0.115709119,192.5738131,2.1274370999283687,0.07864586956710384,0.8002601685696986,3.8348824650048625,0.105490415199471,0.8194157370572347,3.263943316865352,0.24109253234252193,0.8387585760576135
2021_1002_1,SSA_045,2021,1002,2,1,1,,,,,143.4883721,,,,,,,,,2.1190575186446416,0.08152413172646367,0.7897219345602369,3.74157640765532,0.10327572230069071,0.8021872789505364,3.0895202655305622,0.22125204077076854,0.806491361864929
2021_1002_2,SSA_045,2021,1002,2,1,2,,,,,123.4,,,,,,,,,2.20571169878468,0.08706379416772869,0.8231527986000693,4.326164502829877,0.11441097693085278,0.8668831790704101,2.9125153784470244,0.1934504780031936,0.8501073403984543
2021_1002_3,SSA_045,2021,1002,2,1,3,,,,,129.2146597,,,,,,,,,2.1578207112681076,0.08978574938740669,0.7857675209427857,4.094745441589095,0.11105223831019911,0.7921724470142913,3.0219633506423373,0.21444367076677517,0.7472192374977404
2021_2121_1,SSA_045,2021,2121,1,2,1,,,,,128.2077922,,,,,,,,,2.110510653501258,0.08497407788512978,0.7884139698923269,3.70526549965082,0.10110047388131937,0.8513030092125697,2.948301414931241,0.2086045254837513,0.846904931268645
2021_2121_2,SSA_045,2021,2121,1,2,2,,,,,,,,,,,,,,2.0749010461223167,0.07808476537496423,0.7598811616565588,3.5674321372422293,0.10524165414037245,0.773439269633952,2.968270287621897,0.20919531575564643,0.7624889988302671
2021_2121_3,SSA_045,2021,2121,1,2,3,,,,,146.9047619,,,,,,,,,2.12186197022782,0.08271802274831153,0.789268493173827,3.726799105044246,0.10266136250192015,0.7647946660108006,3.00173233977466,0.21109762238764718,0.7705599696906664
2021_1003_1,SSA_369,2021,1003,3,1,1,,,,,86.59649123,,,88.30826166,39.23867175,0.138091216,32.70592079,0.21648875,151.074459,2.183863658761059,0.06040984306555419,0.8385072624451603,4.217794160895714,0.11649013019590468,0.8676323770545703,2.9015487091900463,0.1669745175924302,0.8272330868207718
