ID,Accession,Year,Plot,Block,Replicate,Repeat,SLA,W_leaf,A_sat,gs_sat,C_i_sat,iWUE_sat,alpha_l,KS_l,R2_l,alpha_h,KS_h,R2_h,alpha_t,KS_t,R2_t
2022_1001_1,SSA_051,2022,1001,1,1,1,217.6870748,7.7,,,,,2.1958993267204927,0.09131610004149449,0.8278525243035785,4.275621805280943,0.11462439504953503,0.8029169834406912,3.066612127034487,0.22067784937239887,0.741606310646528
2022_1001_2,SSA_051,2022,1001,1,1,2,197.5308642,7.9,22.71611749,0.1083196,41.97017413,209.7138243,2.2135145297668055,0.08738367645723777,0.8338668186180369,4.29122532392643,0.11519106594804485,0.8125140272935529,2.98113739740348,0.20308565419990932,0.7703697600603592
2022_1001_3,SSA_051,2022,1001,1,1,3,209.1503268,8.1,,,,,2.1467718647779024,0.08513217920586347,0.8174849968325868,3.8990140480110056,0.10911891141760069,0.7501728380269126,3.068616917605781,0.22163436416929727,0.7409110516287483
2022_2272_1,SSA_051,2022,2272,8,2,1,213.3333333,8.8,,,,,2.1715534303645736,0.09465831542779557,0.8028802431681327,4.1860302447459965,0.11146110704726025,0.7818367928677489,3.265603048271977,0.250352552490431,0.7894754431173744
2022_2272_2,SSA_051,2022,2272,8,2,2,235.2941176,8.3,34.08127052,0.186431302,78.46751066,182.8087347,2.2279980292042176,0.09798560400372958,0.8100696837692855,3.936084905325516,0.06319136256639679,0.817386679605613,2.9397901307970664,0.2058887600192031,0.7666556880326227
2022_2272_3,SSA_051,2022,2272,8,2,3,206.4516129,7.6,31.15876566,0.150209672,41.59521491,207.4351487,2.16293249198434,0.0882675667224051,0.8056781260705572,4.167689927035041,0.11265465197922192,0.7818050894535628,3.2720480069433857,0.24368430193719037,0.8100677841119222
2022_1002_1,SSA_161,2022,1002,2,1,1,209.1503268,6.5,28.17406779,0.142336359,57.90753923,197.9400621,2.161694274178111,0.0727131711190947,0.8229742866963086,3.9555517776335116,0.10864322484198435,0.7986172735931547,3.083407426345715,0.20696813708686157,0.8047936522896284
2022_1002_2,SSA_161,2022,1002,2,1,2,186.0465116,8.2,33.91037795,0.213073654,115.0887458,159.14862,2.215833743137735,0.07093921759928501,0.8318223267540666,4.396473105580194,0.11602564365554663,0.8335579125514688,2.7468182928479834,0.14789047431516222,0.7807224574066196
2022_1002_3,SSA_161,2022,1002,2,1,3,193.9393939,7.0,41.88396902,0.255513353,102.9190347,163.9208616,2.170756554310764,0.06543657743508235,0.8215134939778308,4.137460562675988,0.11284302707860053,0.8072470839408465,2.9346556575173657,0.1774399417730781,0.7725557482170267
2022_2015_1,SSA_161,2022,2015,7,2,1,195.1219512,7.4,37.01424189,0.196429066,66.90597196,188.4356663,2.2088258423744604,0.07457483527259656,0.830214088526738,4.291472867405469,0.11447988294749589,0.8103923980138086,3.092447073681018,0.2037776420024895,0.8071200951212726
2022_2015_2,SSA_161,2022,2015,7,2,2,180.7909605,7.2,34.61962713,0.190990314,79.58769853,181.2637843,2.2274881371436575,0.07478180659342193,0.8343130870710065,4.3573057664737584,0.11506507775014987,0.8580193754841481,2.8448367682842375,0.16965627180735288,0.8528915860543731
2022_2015_3,SSA_161,2022,2015,7,2,3,192.7710843,7.3,38.34015844,0.221864947,91.97414093,172.8085436,2.1943612839083406,0.07582766739936442,0.8278750722739273,4.272393332150417,0.11456332154954618,0.8504952565137585,2.8325542378699904,0.16824762906621982,0.8112856322294049
2022_1003_1,SSA_087,2022,1003,3,1,1,226.9503546,7.2,34.06644732,0.158822621,27.96652314,214.4936729,2.1505056825453037,0.09325998228803256,0.8046393142820883,3.978924285428051,0.1099426168250936,0.8133355206137048,2.784163806629235,0.18776097665233837,0.743675497059193
2022_1003_2,SSA_087,2022,1003,3,1,2,206.4516129,8.8,,,,,2.1633185950678127,0.08950812034008149,0.8112650818779861,4.06293055906726,0.1118748394062869,0.7666133435863133,3.142955827414067,0.22967898517679775,0.7374687141472116
2022_1003_3,SSA_087,2022,1003,3,1,3,206.4516129,10.9,23.51546387,0.151971215,128.899776,154.7363022,2.2110861209887505,0.09291399594488048,0.8265785574731052,4.356347721694678,0.1165652826792985,0.8248591471454603,2.731968920817114,0.16918657155002925,0.784444012428038
2022_2222_1,SSA_087,2022,2222,6,2,1,177.7777778,9.3,30.07587759,0.140126424,30.12084626,214.6338761,2.2184462061260932,0.08444166612314608,0.8234475772237639,4.415925864154404,0.1153724392046952,0.8622404647652439,2.757327573974803,0.16341044155012407,0.8182075904620408
2022_2222_2,SSA_087,2022,2222,6,2,2,169.3121693,10.9,30.69463908,0.142907431,29.46415347,214.7868656,2.2185800646498537,0.07803446782037182,0.8312377045254008,4.4649627757102985,0.11657302406726666,0.8781014522320778,2.7462560043559376,0.15596964388396106,0.8470457299264162
2022_2222_3,SSA_087,2022,2222,6,2,3,165.8031088,11.7,28.38845891,0.175355161,114.7289655,161.8912084,2.2486210773934094,0.08189870599676241,0.8139335485324003,4.040669932198734,0.06259735116611642,0.8729552965139394,2.755238067493446,0.15574635328921138,0.8514221618169768
2022_1004_1,SSA_209,2022,1004,4,1,1,181.8181818,10.0,23.76475815,0.143276726,111.4783125,165.8661449,2.1636319759176375,0.07681834445118463,0.8204607747756255,4.062367096788583,0.11019998311794948,0.8292435142875939,3.075062923019698,0.2126047854019396,0.8024523014784735
2022_1004_2,SSA_209,2022,1004,4,1,2,200.0,10.7,22.60087033,0.118563883,74.24870577,190.62188,2.15697620851956,0.07651696333308877,0.8150934914344522,4.060882595408791,0.11148378560755604,0.8730967642521246,2.890702759545298,0.184039936849012,0.8405148996762042
2022_1004_3,SSA_209,2022,1004,4,1,3,202.5316456,10.2,17.84085219,0.083334361,39.85518448,214.0875852,2.165168410712569,0.07888532609505472,0.8171268067570343,4.0706711510478195,0.1120696302216456,0.7904803613691395,3.128872567573436,0.2210541342558825,0.7626671859584433
2022_2108_1,SSA_209,2022,2108,4,2,1,181.8181818,9.9,22.68717961,0.107822248,43.27470837,210.412786,2.1549131239488233,0.06580717604274688,0.8291174160644815,4.034394981350481,0.11132335913286512,0.7978466071645073,2.8799386496271313,0.17439576394866374,0.7346029124184648
2022_2108_2,SSA_209,2022,2108,4,2,2,171.1229947,10.9,16.5400884,0.16007718,214.81655,103.3257107,2.1717412171636483,0.06880859137918538,0.8289813980713532,4.113744619883179,0.11271174475086465,0.8824617644588111,2.995940601967132,0.19317937656567996,0.8427839232710844
2022_2108_3,SSA_209,2022,2108,4,2,3,179.7752809,9.7,25.43711625,0.122092687,44.34846339,208.342668,2.1528621438848563,0.07386160746357495,0.8108029866844009,4.019291048078554,0.10910412457175223,0.8651193134808932,2.92013084936352,0.18800832860403816,0.8434764927519087
2022_1005_1,SSA_369,2022,1005,5,1,1,166.6666667,8.1,1.423971779,0.029706639,309.2405325,47.93446286,2.0704990140113213,0.03949867029239029,0.7404772485910717,4.414782814038342,0.09026183598576762,0.8958842927489986,2.9695957368950245,0.16839377305232361,0.8914512704696131
2022_1005_2,SSA_369,2022,1005,5,1,2,191.6167665,8.7,26.23511579,0.130549044,55.68392763,200.9598467,2.2012782428327657,0.0671629420329557,0.8429766548812374,4.174644753692453,0.11322812987420577,0.8276591458918752,2.9811292333985495,0.18502028173459062,0.798404126186625
2022_1005_3,SSA_369,2022,1005,5,1,3,182.8571429,8.8,12.63688316,0.07378067,110.957835,171.27634,2.13057195365294,0.06406922352771005,0.81102923377284,3.7895346989989442,0.10306889533313851,0.7800579359678457,3.014908416001978,0.19216645554710732,0.7530531500302265
